,Year,PDB dalam USD,Pertumbuhan pendapatan negara,Durasi Wajib Belajar,"Pengeluaran pemerintah untuk pendidikan, total (% dari PDB)",Total Populasi,Nama Negara,Total pengeluaran pemerintah untuk pendidikan,Total pengeluaran pemerintah SELAIN pendidikan,code,Income Level,Rank IQ,IQ,"Population ages 15-19, female","Population ages 15-19, male","Population ages 20-24, female","Population ages 20-24, male",Total Youth,"Share of youth not in education, employment or training, total (% of youth population)","Total of youth not in education, employment or training"
0,2017,12128104859.1498,28186.8030267778,9.0,3.889299869537355,430276.0,Brunei,471698366.4642667,11656406492.685534,BRN,HIC,74,87.58,16815,18112,16545,17857,69329,19.96999931,13846
1,2018,13567351175.0315,31241.4539554095,9.0,3.889299869537355,434274.0,Brunei,527674971.5501749,13039676203.481325,BRN,HIC,74,87.58,16852,18002,16669,17772,69295,20.71999931,14358
2,2019,13469422958.5105,30748.7374865551,9.0,3.889299869537355,438048.0,Brunei,523866249.55278337,12945556708.957716,BRN,HIC,74,87.58,16777,17815,16575,17742,68909,18.68000031,12873
3,2020,12005825759.223,27179.4119853371,9.0,3.889299869537355,441725.0,Brunei,466942565.5903423,11538883193.632658,BRN,HIC,74,87.58,16574,17546,16557,17786,68463,21.43000031,14672
4,2021,14006569575.68,31449.0765620727,9.0,3.889299869537355,445373.0,Brunei,544757492.2335811,13461812083.446419,BRN,HIC,74,87.58,16361,17260,16545,17850,68016,18.68000031,12706
0,2017,61449392056.1488,1175.20255722301,5.0,2.32633996009827,52288341.0,Myanmar,1429521762.6396418,60019870293.50916,MMR,LMC,52,91.18,2251712,2350164,2197402,2305666,9104944,16.59000015,1510511
1,2018,67144725830.5753,1274.91565681381,5.0,2.15748000144959,52666014.0,Myanmar,1448634031.8228192,65696091798.75248,MMR,LMC,52,91.18,2258212,2358455,2217477,2295470,9129614,12.78999996,1167678
2,2019,68697759361.231,1295.2014475589,5.0,2.13986992835999,53040212.0,Myanmar,1470042694.028092,67227716667.20291,MMR,LMC,52,91.18,2260617,2362041,2204992,2284447,9112097,16.97880949,1547126
3,2020,78930257227.0908,1477.45287032594,5.0,2.2078966299692833,53423198.0,Myanmar,1742698489.3430245,77187558737.74779,MMR,LMC,52,91.18,2258470,2360501,2196937,2278275,9094183,15.02000046,1365947
4,2021,65091751273.2879,1209.92694225482,5.0,2.2078966299692833,53798084.0,Myanmar,1437158582.7509115,63654592690.536995,MMR,LMC,52,91.18,2249244,2351085,2197402,2280229,9077960,16.97880949,1541330
0,2017,22177200511.5811,1400.89926039107,12.0,2.3161518573761,15830689.0,Cambodia,513657641.5630076,21663542870.018093,KHM,LMC,15,99.75,701666,706196,659080,689642,2756584,6.460000038,178076
1,2018,24571753583.4922,1533.31598466695,12.0,2.57805943489075,16025238.0,Cambodia,633474411.5773267,23938279171.91487,KHM,LMC,15,99.75,707983,714473,690218,661693,2774367,6.460000038,178076
2,2019,27089389786.979,1671.38538492515,12.0,2.89662981033325,16207746.0,Cambodia,784679340.0070046,26304710446.971996,KHM,LMC,15,99.75,708255,715641,671736,642306,2737938,6.460000038,178076
3,2020,25872798012.1938,1577.91174726099,12.0,3.12630653381348,16396860.0,Cambodia,808862974.7355791,25063935037.45822,KHM,LMC,15,99.75,713041,723077,659791,631524,2727433,6.460000038,178076
4,2021,26961061119.7957,1625.23501955454,12.0,2.7292869091033953,16589023.0,Cambodia,735844711.6979493,26225216408.09775,KHM,LMC,15,99.75,722553,738241,659080,635501,2755375,6.460000038,178076
